Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,10.116,11.812,1.697
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,24.254,2.684,-21.571
Curr-RCP8.5 (2040-2069),Mean,40.994,1.852,-39.142
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,92.372,0.199,-92.173
Curr-RCP4.5 (2040-2069),CA,5.603,9.586,3.984
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,18.245,2.421,-15.825
Curr-RCP8.5 (2040-2069),CA,35.073,1.973,-33.1
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,82.816,0.449,-82.367
