Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,64.464,1.6,-62.864
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,47.668,2.977,-44.691
Curr-RCP8.5 (2040-2069),Mean,69.451,773.986,704.535
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,98.329,108.353,10.024
Curr-RCP4.5 (2040-2069),CA,72.801,3.677,-69.125
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,54.105,7.416,-46.689
Curr-RCP8.5 (2040-2069),CA,79.612,1132.524,1052.913
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,98.544,121.845,23.301
