Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,67.169,5.007,-62.163
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,44.984,25.014,-19.97
Curr-RCP8.5 (2040-2069),Mean,66.667,184.975,118.308
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,99.053,53.851,-45.202
Curr-RCP4.5 (2040-2069),CA,53.991,8.094,-45.897
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,42.535,26.122,-16.413
Curr-RCP8.5 (2040-2069),CA,70.499,167.214,96.716
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,99.589,39.413,-60.176
