Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,13.228,6.739,-6.488
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,29.439,2.761,-26.678
Curr-RCP8.5 (2040-2069),Mean,34.827,5.284,-29.544
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,98.417,0.051,-98.366
Curr-RCP4.5 (2040-2069),CA,9.713,5.208,-4.505
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,25.276,2.466,-22.81
Curr-RCP8.5 (2040-2069),CA,29.619,5.129,-24.489
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,94.675,0.755,-93.92
