Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,43.746,23.798,-19.947
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,12.306,95.814,83.509
Curr-RCP8.5 (2040-2069),Mean,36.318,57.97,21.651
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,70.117,3.155,-66.962
Curr-RCP4.5 (2040-2069),CA,55.533,21.273,-34.26
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,31.429,63.591,32.162
Curr-RCP8.5 (2040-2069),CA,65.193,36.757,-28.436
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,99.934,2.535,-97.399
