Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,74.195,4.329,-69.866
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,10.143,8.72,-1.423
Curr-RCP8.5 (2040-2069),Mean,18.981,75.576,56.595
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,40.951,72.042,31.091
Curr-RCP4.5 (2040-2069),CA,66.39,5.796,-60.594
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,9.113,8.811,-0.302
Curr-RCP8.5 (2040-2069),CA,15.062,55.759,40.697
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,29.201,56.958,27.757
