Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,15.884,26.544,10.66
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,19.053,22.165,3.111
Curr-RCP8.5 (2040-2069),Mean,7.591,20.965,13.374
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,22.196,11.368,-10.828
Curr-RCP4.5 (2040-2069),CA,17.577,24.153,6.576
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,21.922,22.869,0.947
Curr-RCP8.5 (2040-2069),CA,10.194,19.978,9.784
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,40.986,11.059,-29.926
