Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,7.658,9.43,1.772
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,32.568,6.789,-25.779
Curr-RCP8.5 (2040-2069),Mean,13.17,5.72,-7.451
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,42.005,6.39,-35.616
Curr-RCP4.5 (2040-2069),CA,8.884,7.302,-1.582
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,27.598,5.528,-22.07
Curr-RCP8.5 (2040-2069),CA,12.428,4.394,-8.033
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,37.864,4.993,-32.871
