Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,15.068,11.337,-3.731
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,4.617,13.415,8.798
Curr-RCP8.5 (2040-2069),Mean,19.192,46.658,27.466
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,35.617,44.314,8.696
Curr-RCP4.5 (2040-2069),CA,14.603,11.522,-3.082
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,4.294,14.07,9.776
Curr-RCP8.5 (2040-2069),CA,18.609,46.23,27.621
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,35.066,44.518,9.453
