Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,18.141,29.452,11.311
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,2.006,92.104,90.098
Curr-RCP8.5 (2040-2069),Mean,14.752,76.875,62.123
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,36.835,115.213,78.378
Curr-RCP4.5 (2040-2069),CA,15.074,23.03,7.957
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,0.589,81.013,80.424
Curr-RCP8.5 (2040-2069),CA,4.841,78.718,73.877
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,8.059,125.348,117.289
