Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,11.826,9.021,-2.805
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,28.799,9.021,-19.777
Curr-RCP8.5 (2040-2069),Mean,38.745,2.777,-35.968
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,88.913,0.091,-88.822
Curr-RCP4.5 (2040-2069),CA,11.807,8.896,-2.91
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,28.464,9.076,-19.388
Curr-RCP8.5 (2040-2069),CA,38.429,2.808,-35.622
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,86.727,0.146,-86.581
