Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,0.98,44.088,43.108
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,4.595,72.083,67.489
Curr-RCP8.5 (2040-2069),Mean,7.475,43.307,35.831
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,24.153,88.448,64.295
Curr-RCP4.5 (2040-2069),CA,1.489,44.273,42.784
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,6.082,75.276,69.194
Curr-RCP8.5 (2040-2069),CA,9.271,42.521,33.25
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,23.303,87.626,64.323
