Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,16.288,7.621,-8.667
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,27.988,6.46,-21.527
Curr-RCP8.5 (2040-2069),Mean,38.311,7.16,-31.15
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,98.933,0.039,-98.894
Curr-RCP4.5 (2040-2069),CA,15.053,9.431,-5.621
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,25.617,8.074,-17.543
Curr-RCP8.5 (2040-2069),CA,27.59,11.725,-15.864
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,44.968,5.948,-39.02
