Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,13.785,15.981,2.196
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,32.579,3.83,-28.749
Curr-RCP8.5 (2040-2069),Mean,17.285,13.608,-3.678
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,52.771,5.015,-47.756
Curr-RCP4.5 (2040-2069),CA,12.485,25.625,25.625
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,16.643,17.094,0.451
Curr-RCP8.5 (2040-2069),CA,8.81,12.732,3.922
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,27.985,7.318,-20.667
