Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,58.233,4.015,-54.218
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,27.717,4.749,-22.968
Curr-RCP8.5 (2040-2069),Mean,55.365,19.513,-35.852
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,95.229,3.464,-91.765
Curr-RCP4.5 (2040-2069),CA,40.334,3.264,-37.07
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,25.373,3.678,-21.695
Curr-RCP8.5 (2040-2069),CA,47.944,11.469,-36.474
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,87.043,3.561,-83.482
