Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,10.974,9.92,-1.054
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,32.62,13.642,-18.978
Curr-RCP8.5 (2040-2069),Mean,49.41,5.129,-44.281
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,98.495,1.128,-97.367
Curr-RCP4.5 (2040-2069),CA,7.845,11.126,3.281
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,26.969,12.408,-14.56
Curr-RCP8.5 (2040-2069),CA,45.543,2.857,-42.686
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,97.36,1.118,-96.242
