Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,9.652,26.765,17.113
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,6.204,65.386,59.182
Curr-RCP8.5 (2040-2069),Mean,10.724,9.661,-1.063
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,6.029,21.587,15.557
Curr-RCP4.5 (2040-2069),CA,8.466,27.161,18.695
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,32.067,57.819,25.753
Curr-RCP8.5 (2040-2069),CA,11.8,13.308,1.508
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,7.193,25.757,18.564
