Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,7.047,13.194,6.147
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,38.232,14.101,-24.131
Curr-RCP8.5 (2040-2069),Mean,17.966,6.52,-11.446
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,51.366,4.003,-47.363
Curr-RCP4.5 (2040-2069),CA,10.7,12.188,1.488
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,38.485,13.898,-24.587
Curr-RCP8.5 (2040-2069),CA,20.306,5.538,-14.768
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,52.5,4.379,-48.122
