Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,4.95,4.895,-0.055
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,24.973,4.218,-20.755
Curr-RCP8.5 (2040-2069),Mean,9.028,2.381,-6.646
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,39.797,1.537,-38.259
Curr-RCP4.5 (2040-2069),CA,4.5,4.99,0.49
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,19.096,4.289,-14.807
Curr-RCP8.5 (2040-2069),CA,7.689,2.536,-5.153
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,30.278,1.819,-28.459
