Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,6.352,22.849,16.497
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,10.501,21.644,11.142
Curr-RCP8.5 (2040-2069),Mean,5.982,1.623,-4.359
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,22.204,2.356,-19.848
Curr-RCP4.5 (2040-2069),CA,3.687,28.342,24.655
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,8.981,21.571,12.591
Curr-RCP8.5 (2040-2069),CA,4.878,2.497,-2.382
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,6.69,5.415,-1.276
