Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,25.204,6.814,-8.39
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,46.155,9.652,-36.502
Curr-RCP8.5 (2040-2069),Mean,20.436,16.336,-4.099
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,61.986,3.879,-58.107
Curr-RCP4.5 (2040-2069),CA,7.393,33.908,26.515
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,31.763,7.781,-23.982
Curr-RCP8.5 (2040-2069),CA,7.49,9.261,1.772
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,45.813,4.756,41.057
