Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,1.486,14.308,12.822
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,40.538,17.586,-22.953
Curr-RCP8.5 (2040-2069),Mean,7.176,10.034,2.858
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,20.008,16.848,-3.16
Curr-RCP4.5 (2040-2069),CA,1.574,13.139,11.565
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,38.424,15.522,-22.902
Curr-RCP8.5 (2040-2069),CA,4.638,9.494,4.855
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,8.892,15.476,6.584
