Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,14.818,8.967,-5.851
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,15.126,25.471,10.345
Curr-RCP8.5 (2040-2069),Mean,11.73,23.465,11.735
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,32.517,14.562,-17.955
Curr-RCP4.5 (2040-2069),CA,13.814,10.588,-3.226
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,13.534,23.247,9.713
Curr-RCP8.5 (2040-2069),CA,11.252,20.327,9.074
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,30.599,11.557,-19.042
