Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,39.584,4.783,-34.801
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,9.174,8.294,-0.881
Curr-RCP8.5 (2040-2069),Mean,32.291,115.705,83.413
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,89.74,60.045,-29.695
Curr-RCP4.5 (2040-2069),CA,4.678,10.179,5.501
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,7.934,7.675,-0.259
Curr-RCP8.5 (2040-2069),CA,16.563,65.15,48.587
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,45.797,63.995,18.198
