Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,49.148,9.583,-39.565
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,20.184,24.28,4.096
Curr-RCP8.5 (2040-2069),Mean,60.993,24.088,-36.905
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,81.223,13.792,-67.431
Curr-RCP4.5 (2040-2069),CA,50,11.033,-38.967
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,28.442,23.455,-4.987
Curr-RCP8.5 (2040-2069),CA,66.969,13.338,-53.632
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,91.418,15.197,-76.221
