Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,16.251,12.733,-3.518
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,32.793,8.65,-24.143
Curr-RCP8.5 (2040-2069),Mean,36.055,11.807,-24.247
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,98.625,0.101,-98.524
Curr-RCP4.5 (2040-2069),CA,13.092,12.277,-0.815
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,30.535,8.979,-21.556
Curr-RCP8.5 (2040-2069),CA,32.864,11.972,-20.892
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,88.713,0.475,-88.238
