Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,20.912,15.716,-5.195
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,11.562,12.468,0.906
Curr-RCP8.5 (2040-2069),Mean,11.937,11.249,-0.688
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,35.464,14.304,-21.16
Curr-RCP4.5 (2040-2069),CA,20.633,16.261,-4.373
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,16.685,12.335,-4.349
Curr-RCP8.5 (2040-2069),CA,14.535,9.391,-5.144
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,44.026,12.247,-31.78
