Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,32.488,6.622,-25.866
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,5.303,7.527,2.224
Curr-RCP8.5 (2040-2069),Mean,20.92,47.176,26.256
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,44.767,36.805,-7.962
Curr-RCP4.5 (2040-2069),CA,26.144,7.48,-18.663
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,4.095,6.313,2.217
Curr-RCP8.5 (2040-2069),CA,18.653,40.059,21.406
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,36.631,35.062,-1.569
