Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,94.495,3.556,-90.938
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,33.112,11.875,-21.238
Curr-RCP8.5 (2040-2069),Mean,75.543,149.524,73.981
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,100,7.269,-92.731
Curr-RCP4.5 (2040-2069),CA,31.63,6.115,-25.515
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,22.483,7.001,-15.483
Curr-RCP8.5 (2040-2069),CA,48.237,50.506,2.268
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,97.212,11.369,-85.843
