Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,6.629,12.729,6.1
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,8.59,22.229,13.639
Curr-RCP8.5 (2040-2069),Mean,1.151,36.2,35.049
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,11.614,51.108,39.484
Curr-RCP4.5 (2040-2069),CA,7.722,13.809,6.087
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,9.185,24.145,14.96
Curr-RCP8.5 (2040-2069),CA,1.661,40.645,38.984
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,11.945,52.504,40.559
