Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,10.042,50.774,40.732
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,29.317,43.683,14.366
Curr-RCP8.5 (2040-2069),Mean,28.165,60.475,32.311
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,69.283,27.87,-41.413
Curr-RCP4.5 (2040-2069),CA,12.727,48.584,35.857
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,30.68,43.094,12.415
Curr-RCP8.5 (2040-2069),CA,29.556,54.806,25.25
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,68.376,24.394,-43.982
