Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,72.495,3.786,-68.709
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,29.952,9.106,-20.846
Curr-RCP8.5 (2040-2069),Mean,37.529,69.341,31.812
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,70.83,14.925,-55.905
Curr-RCP4.5 (2040-2069),CA,73.606,3.785,-69.821
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,29.467,9.26,-20.207
Curr-RCP8.5 (2040-2069),CA,37.758,65.859,28.102
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,72.065,13.972,-58.093
