Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,4.699,8.151,3.452
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,10.354,12.901,2.546
Curr-RCP8.5 (2040-2069),Mean,4.336,10.07,5.733
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,20.19,7.672,-12.518
Curr-RCP4.5 (2040-2069),CA,4.844,7.973,3.129
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,8.764,12.676,3.911
Curr-RCP8.5 (2040-2069),CA,4.105,10.763,6.658
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,15.118,8.209,-6.909
