Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,12.013,31.765,19.752
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,21.336,8.13,-13.207
Curr-RCP8.5 (2040-2069),Mean,30.185,8.563,-21.622
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,75.71,2.173,-73.538
Curr-RCP4.5 (2040-2069),CA,7.68,31.441,23.761
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,17.14,8.663,-8.477
Curr-RCP8.5 (2040-2069),CA,21.047,7.418,-13.629
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,26.36,14.689,-11.671
