Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,12.275,10.17,-2.105
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,14.773,6.492,-8.282
Curr-RCP8.5 (2040-2069),Mean,31.228,14.254,-16.974
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,90.323,0.282,-90.041
Curr-RCP4.5 (2040-2069),CA,12.206,9.107,-3.099
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,14.306,11.302,-3.004
Curr-RCP8.5 (2040-2069),CA,25.32,17.926,-7.394
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,82.743,1.046,-81.697
