Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,58.297,7.903,-50.394
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,26.897,16.541,-10.356
Curr-RCP8.5 (2040-2069),Mean,45.53,34.745,-10.785
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,89.241,12.162,-77.079
Curr-RCP4.5 (2040-2069),CA,56.865,11.423,-45.442
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,29.977,19.928,-10.05
Curr-RCP8.5 (2040-2069),CA,59.48,93.68,34.201
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,93.448,15.892,-77.556
