Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,11.373,9.758,-1.615
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,6.628,20.442,13.815
Curr-RCP8.5 (2040-2069),Mean,8.544,33.365,24.821
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,16.573,24.007,7.435
Curr-RCP4.5 (2040-2069),CA,11.067,8.854,-2.213
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,5.931,18.214,12.283
Curr-RCP8.5 (2040-2069),CA,6.984,34.365,27.382
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,11.706,24.293,12.587
