Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,70.711,5.483,-65.228
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,8.2,10.685,2.486
Curr-RCP8.5 (2040-2069),Mean,23.052,82.407,59.354
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,46.604,68.731,22.126
Curr-RCP4.5 (2040-2069),CA,60.028,6.245,-53.783
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,6.169,9.692,3.522
Curr-RCP8.5 (2040-2069),CA,18.644,61.629,42.984
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,36.658,51.59,14.932
