Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,14.796,13.799,-0.997
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,3.928,11.754,7.826
Curr-RCP8.5 (2040-2069),Mean,15.152,13.861,-1.291
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,29.376,11.233,-18.143
Curr-RCP4.5 (2040-2069),CA,14.232,14.422,0.191
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,3.648,12.076,8.427
Curr-RCP8.5 (2040-2069),CA,14.951,10.395,-4.556
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,27.746,7.889,-19.857
