Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,8.715,22.076,13.361
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,19.959,11.244,-8.715
Curr-RCP8.5 (2040-2069),Mean,31.453,10.197,-21.256
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,86.03,1.055,-84.976
Curr-RCP4.5 (2040-2069),CA,5.713,16.508,10.795
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,15.898,8.663,-7.235
Curr-RCP8.5 (2040-2069),CA,26.283,7.353,-18.931
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,75.585,1.72,-73.865
