Comparison,Consensus Method,PercLoss,PercGain,SpeciesRangeChange
Curr-RCP4.5 (2040-2069),Mean,35.042,8.173,-26.869
RCP4.5 (2040-2069) - RCP4.5(2070-2099),Mean,38.214,7.737,-30.476
Curr-RCP8.5 (2040-2069),Mean,69.811,122.213,52.401
RCP8.5 (2040-2069) - RCP8.5(2070-2099),Mean,98.656,31.933,-66.724
Curr-RCP4.5 (2040-2069),CA,14.972,12.523,-2.449
RCP4.5 (2040-2069) - RCP4.5(2070-2099),CA,36.603,7.504,-29.099
Curr-RCP8.5 (2040-2069),CA,52.449,90.228,37.779
RCP8.5 (2040-2069) - RCP8.5(2070-2099),CA,89.676,40.147,-49.529
